league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
ENG-Premier League,1011,Blackburn,2011-02-26 Aston Villa-Blackburn,2011-02-26,,Matchweek 28,Sat,Away,L,1,4,Aston Villa,,34309,,4-1-4-1,4-5-1,Martin Atkinson,/en/matches/be831087/Aston-Villa-Blackburn-Rovers-February-26-2011-Premier-League,,,4,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,1
ENG-Premier League,1011,Blackburn,2011-03-05 Fulham-Blackburn,2011-03-05,,Matchweek 29,Sat,Away,L,2,3,Fulham,,25687,,4-4-2,4-4-2,Mark Clattenburg,/en/matches/ad4efeb9/Fulham-Blackburn-Rovers-March-5-2011-Premier-League,,,3,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2011-03-19 Blackburn-Blackpool,2011-03-19,,Matchweek 30,Sat,Home,D,2,2,Blackpool,,27209,,4-3-3,4-2-3-1,Howard Webb,/en/matches/2445a28f/Blackburn-Rovers-Blackpool-March-19-2011-Premier-League,,,2,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2011-04-02 Arsenal-Blackburn,2011-04-02,,Matchweek 31,Sat,Away,D,0,0,Arsenal,,60087,,4-1-4-1,4-2-3-1,Phil Dowd,/en/matches/66f7868b/Arsenal-Blackburn-Rovers-April-2-2011-Premier-League,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2011-04-09 Blackburn-Birmingham City,2011-04-09,,Matchweek 32,Sat,Home,D,1,1,Birmingham City,,28426,,4-1-4-1,4-4-2,Chris Foy,/en/matches/ef82d14c/Blackburn-Rovers-Birmingham-City-April-9-2011-Premier-League,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2011-04-16 Everton-Blackburn,2011-04-16,,Matchweek 33,Sat,Away,L,0,2,Everton,,35857,,4-4-1-1,4-4-1-1,Kevin Friend,/en/matches/5e5667fa/Everton-Blackburn-Rovers-April-16-2011-Premier-League,,,2,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2011-04-25 Blackburn-Manchester City,2011-04-25,,Matchweek 34,Mon,Home,L,0,1,Manchester City,,23529,,4-4-2,4-2-3-1,Andre Marriner,/en/matches/6efd17fb/Blackburn-Rovers-Manchester-City-April-25-2011-Premier-League,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2011-04-30 Blackburn-Bolton,2011-04-30,,Matchweek 35,Sat,Home,W,1,0,Bolton,,28985,,4-4-2,4-4-2,Mike Dean,/en/matches/0af634c6/Blackburn-Rovers-Bolton-Wanderers-April-30-2011-Premier-League,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2011-05-07 West Ham-Blackburn,2011-05-07,,Matchweek 36,Sat,Away,D,1,1,West Ham,,33789,,4-1-4-1,4-3-3,Peter Walton,/en/matches/054d4343/West-Ham-United-Blackburn-Rovers-May-7-2011-Premier-League,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2011-05-14 Blackburn-Manchester Utd,2011-05-14,,Matchweek 37,Sat,Home,D,1,1,Manchester Utd,,29867,,4-1-4-1,4-4-2,Phil Dowd,/en/matches/90968818/Blackburn-Rovers-Manchester-United-May-14-2011-Premier-League,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2011-05-22 Wolves-Blackburn,2011-05-22,,Matchweek 38,Sun,Away,W,3,2,Wolves,,29009,,4-4-1-1,4-4-2,Howard Webb,/en/matches/7df1b984/Wolverhampton-Wanderers-Blackburn-Rovers-May-22-2011-Premier-League,,,2,,,0,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackpool,2010-08-14 Wigan Athletic-Blackpool,2010-08-14,,Matchweek 1,Sat,Away,W,4,0,Wigan Athletic,,16152,,4-3-3,4-5-1,Mark Halsey,/en/matches/b82a0d38/Wigan-Athletic-Blackpool-August-14-2010-Premier-League,,,0,,,1,,,,,4,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackpool,2010-08-21 Arsenal-Blackpool,2010-08-21,,Matchweek 2,Sat,Away,L,0,6,Arsenal,,60032,,4-3-3,4-3-3,Mike Jones,/en/matches/9e517d4d/Arsenal-Blackpool-August-21-2010-Premier-League,,,6,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,0
ENG-Premier League,1011,Blackpool,2010-08-28 Blackpool-Fulham,2010-08-28,,Matchweek 3,Sat,Home,D,2,2,Fulham,,15529,,4-3-3,4-4-2,Michael Oliver,/en/matches/f5c63abc/Blackpool-Fulham-August-28-2010-Premier-League,,,2,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackpool,2010-09-11 Newcastle Utd-Blackpool,2010-09-11,,Matchweek 4,Sat,Away,W,2,0,Newcastle Utd,,49597,,4-3-3,4-4-1-1,Lee Mason,/en/matches/5eb66787/Newcastle-United-Blackpool-September-11-2010-Premier-League,,,0,,,1,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackpool,2010-09-19 Chelsea-Blackpool,2010-09-19,,Matchweek 5,Sun,Away,L,0,4,Chelsea,,41761,,4-1-4-1,4-3-3,Mark Clattenburg,/en/matches/180b4f9b/Chelsea-Blackpool-September-19-2010-Premier-League,,,4,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,1
